;old_labels;new_labels
0;icon_button;button
1;label;text
2;text_field;text_field
3;button;button
4;image;image
5;icon;icon
6;ActionBar$Tab;tab_bar
7;switch_checked;switch
8;dropdown_menu;dropdown
9;switch_unchecked;switch
10;NumberPicker;dropdown
11;progress;progress
12;checkbox_checked;checkbox
13;checkbox_unchecked;checkbox
14;TabWidget;tab_bar
15;Image;image
16;radio_button_unchecked;radio
17;ZoomButton;button
18;radio_button_checked;radio
19;zb;ignore
20;TabHost;tab_bar
21;slider;slider
22;Gallery;ignore
23;O;ignore
24;radio;radio
25;checkbox;checkbox
26;a$c;ignore
27;f;ignore
28;dropdown;dropdown
;icon_button;button
;text_view;text
;image_view;image
;text_button;button
;name;text
;separator_line;ignore
;last_name;text_field
;username;text_field
;email;text_field
;password;text_field
;date_picker;image
;phone_number;text_field
;sign_up;button
;tb_privacy_terms;text
;search_button;button
;cart_icon_button;button
;price;text
;cart_add;button
;price_s;text
;card;ignore
;card_partial;ignore
;filter_button;button
;button;button
;log_in;button
;tb_forgot_password;button
;fb_button;button
;google_button;button
;tb_sign_up;button
;twitter_button;button
;separator_line_v;ignore
;email_button;button
;number;text
;security_question;text
;menu_dots;ignore
;toggle;switch
;navigation_bar;tab_bar
;navigation_dots;ignore
;tb_log_in;button
;rating_bar;slider
;edit_text;button
;buy;button
;box_outline;ignore
;check_box;checkbox
;image_button;button
;gender_picker;radio
;location;button
;forgot_password;button
;menu_dashs;ignore
;sm_button;button
;discount;text
;wish_list;button
;navigator_dots;ignore
;drop_down_list;dropdown
;msg_icon;icon
;sort;icon
;map;ignore
;instagram_button;button
;heart_icon_button;button
;web_view;ignore
;menu_dots_dashs;ignore
;tab_bar_button;button
;tab_bar;tab_bar
;tb_forgot_username;button
;share_button;button
;search_bar;text_field
;ad;ignore
;sort_button;button
;country;button
;radio_button;radio
;quantity_counter;image
;gender_drop_down;dropdown
;phone_button;button
;star_icon_button;button
;bottom_bar;ignore
;next;button
;zip_code;text_field
;continue;button
;color_picker;ignore
;size_picker;ignore
;top_bar;tab_bar
;available;text
;address;text_field
;linkedin;button
;promo_code;text
;amazon_button;button
;city;text_field
;time;text
;snapchat_button;button
;security_answer;text_field
;pin;text_field
;age;text_field
;id;text
;settings_icon;icon
;windows_button;button
;yahoo_button;button
;whatsapp_button;button
;select_button;button
;view;ignore
;rate_it;button
;sort_selector;dropdown
;captcha;image
;age_picker;dropdown
;ignore;ignore
;com.mopub.mobileads.BaseHtmlWebView;ignore
;about;ignore
;list_view;text